编号	专业分类	年级	性别	Q1	Q2	Q3	Q4	Q5	Q61	Q62	Q63	Q64	Q65	Q66	Q67	Q68	Q69	Q610	Q611	Q612	Q613	Q614	Q615	Q616
235	1	3	1	1	1	1	1	2	3	3	2	3	2	1	2	5	2	2	5	4	3	5	5	4
236	1	3	1	1	1	3	1	3	3	3	2	3	2	1	2	4	2	2	4	3	3	3	4	3
237	1	3	1	1	1	3	1	3	3	3	2	3	2	1	2	3	2	2	4	3	2	4	4	4
238	1	3	1	1	1	2	1	2	3	3	2	3	2	1	2	1	2	2	5	4	1	1	5	1
239	1	3	1	1	1	2	1	2	3	3	2	3	2	1	2	4	2	2	5	3	4	4	5	2
240	1	3	1	1	1	1	1	2	3	3	2	3	2	1	2	2	2	2	4	4	3	4	3	2
241	1	3	1	1	1	2	1	5	3	3	2	3	2	1	2	2	2	2	3	0	0	0	4	4
242	1	3	1	1	1	1	1	2	3	3	2	3	2	1	2	1	2	2	5	2	2	3	5	3
243	1	3	1	1	1	1	1	2	3	3	2	3	2	1	2	4	2	2	4	3	3	3	4	0
244	1	3	1	1	1	2	1	5	3	3	2	3	2	1	2	5	2	2	5	1	1	3	3	3
245	1	3	1	1	1	1	1	1	3	3	2	3	2	1	2	1	2	2	2	2	4	4	1	2
246	1	3	1	1	1	2	1	2	3	3	2	3	2	1	2	1	2	2	4	2	2	2	4	2
247	2	3	1	1	1	1	1	1	3	3	2	3	2	1	2	3	2	2	5	1	2	1	5	1
248	2	3	1	1	1	2	1	3	3	3	2	3	2	1	2	3	2	2	5	5	3	4	5	3
249	4	3	1	1	1	1	1	5	3	3	2	3	2	1	2	4	2	2	3	3	5	5	5	3
250	4	3	1	1	1	1	1	3	3	3	2	3	2	1	2	5	2	2	4	5	4	3	4	5
251	4	3	1	1	1	2	1	3	3	3	2	3	2	1	2	4	2	2	4	3	4	3	4	2
252	2	3	1	1	1	2	1	3	3	3	2	3	2	1	2	5	2	2	2	3	5	5	5	5
253	6	3	1	1	1	1	1	3	3	3	2	3	2	1	2	4	2	2	3	4	3	2	5	3
254	1	3	1	1	1	2	1	2	3	3	2	3	2	1	2	5	2	2	4	4	3	3	5	4
255	2	3	1	1	1	2	1	2	3	3	2	3	2	1	2	4	2	2	5	3	4	3	5	1
256	2	3	1	1	1	2	1	3	3	3	2	3	2	1	2	1	2	2	4	3	3	3	4	4
257	1	3	1	1	1	2	1	2	3	3	2	3	2	1	2	3	2	2	5	2	2	4	3	4
258	4	3	1	1	1	2	1	2	3	3	2	3	2	1	2	4	2	2	4	2	3	5	5	3
259	2	3	1	1	1	2	1	5	3	3	2	3	2	1	2	2	2	2	5	4	3	4	5	3
260	2	3	1	1	1	2	1	1	3	3	2	3	2	1	2	2	2	2	3	3	3	3	3	4
261	2	3	1	1	1	3	1	5	3	3	2	3	2	1	2	4	2	2	4	3	4	2	5	3
262	2	3	1	1	1	1	1	1	3	3	2	3	2	1	2	2	2	2	2	3	4	3	3	4
263	2	3	1	1	1	2	1	3	3	3	2	3	2	1	2	4	2	2	2	3	4	3	2	4
264	1	3	1	1	1	3	1	3	3	3	2	3	2	1	2	2	2	2	5	5	3	5	3	1
265	1	3	1	1	1	2	1	2	3	3	2	3	2	1	2	1	2	2	3	4	3	4	3	4
266	1	3	1	1	1	2	1	2	3	3	2	3	2	1	2	2	2	2	3	2	4	4	3	4
267	1	3	1	1	1	2	1	5	3	3	2	3	2	1	2	1	2	2	4	5	5	4	3	4
268	1	3	1	1	1	3	1	2	3	3	2	3	2	1	2	2	2	2	3	1	1	3	5	4
269	1	3	1	1	1	2	1	3	3	3	2	3	2	1	2	3	2	2	2	2	3	3	5	4
270	1	3	1	1	1	2	1	2	3	3	2	3	2	1	2	3	2	2	3	4	3	3	4	4
